Название компании,Сайт,Отрасль,Регион,Контактное лицо (должность),Email,Телефон,Размер компании,Персонализация,Источник персонализации
"АО ""Ретеншн""",https://retention.ru,IT/Софт,Москва,Бойков Александр (Генеральный директор),info@retention.ru,+7 (495) 111-11-11,50+,Платформа для CRM-маркетинга и аналитики,https://retention.ru
"ООО ""МТС Диджитал""",https://mts-digital.ru,IT/Софт,Москва,Васильев Дмитрий (Генеральный директор),digital-sales@mts.ru,+7 (495) 766-02-22,1000+,Цифровые решения для бизнеса от экосистемы МТС,https://mts-digital.ru
"ООО ""МакроИнтернешнл"" (iiko)",https://iiko.ru,IT/Софт,Москва,Устинов Андрей (Генеральный директор),info@iiko.ru,+7 (495) 135-25-22,200+,Системы автоматизации для ресторанного бизнеса и HoReCa,https://iiko.ru
"ООО ""Деливери"" (Carrot quest)",https://carrotquest.io,IT/Софт,Москва,Панкратьев Павел (Генеральный директор),info@carrotquest.io,+7 (495) 777-77-77,50+,Платформа для автоматизации маркетинга и коммуникаций,https://carrotquest.io
"ООО ""Селекти""",https://selecty.ru,IT/Софт,Москва,Белоусов Сергей (Генеральный директор),info@selecty.ru,+7 (495) 999-99-99,50+,Сервис для управления подписками и авторизацией доступа для B2B,https://selecty.ru
"АО ""Деловые Линии""",https://www.dellin.ru,Логистика,Москва,Курбатов Павел Владимирович (Генеральный директор),info@dellin.ru,+7 (495) 780-11-11,10000+,Запустила сервис перевозки сборных грузов для малого и среднего бизнеса,https://www.dellin.ru
"ООО ""СДЭК""",https://www.cdek.ru,Логистика,Екатеринбург,Плотников Андрей (Генеральный директор),info@cdek.ru,+7 (495) 411-22-99,5000+,Расширяет сеть ПВЗ до 50000+ точек по всей России,https://www.cdek.ru
"ООО ""Боксберри""",https://boxberry.ru,Логистика,Москва,Бурсов Александр (Генеральный директор),info@boxberry.ru,+7 (495) 131-12-03,500+,Логистический сервис доставки заказов для интернет-магазинов,https://boxberry.ru
"ООО ""ГрузовичкоФ""",https://gruzovichkoff.ru,Логистика,Москва,Русаков Дмитрий (Генеральный директор),info@gruzovichkoff.ru,+7 (495) 933-37-37,500+,Сервис перевозок для корпоративных клиентов,https://gruzovichkoff.ru
"ООО ""5POST""",https://5post.ru,Логистика,Москва,Монин Дмитрий (Генеральный директор),info@5post.ru,+7 (495) 733-77-77,1000+,Логистическая платформа для постоматов и пунктов выдачи заказов,https://5post.ru
"ООО ""Достависта""",https://dostavista.ru,Логистика,Москва,Фёдоров Николай (Генеральный директор),info@dostavista.ru,+7 (495) 644-54-77,200+,Курьерская служба доставки для бизнеса в день заказа,https://dostavista.ru
"ООО ""Транспортная компания Байкал-Сервис""",https://www.baikalsr.ru,Логистика,Москва,Воронин Василий (Генеральный директор),info@baikalsr.ru,+7 (495) 775-53-53,1000+,Грузоперевозки и складская логистика для B2B-клиентов,https://www.baikalsr.ru
"ООО ""ПЭК""",https://www.pecom.ru,Логистика,Москва,Коломников Александр (Генеральный директор),info@pecom.ru,+7 (495) 660-11-11,5000+,Транспортно-логистические услуги для корпоративных клиентов,https://www.pecom.ru
"ПАО ""ГАЗ""",https://gazgroup.ru,Производство,Нижний Новгород,Золотарёв Вадим (Генеральный директор),info@gazgroup.ru,+7 (831) 299-99-99,10000+,Крупнейший производитель коммерческого транспорта в РФ,https://gazgroup.ru
"ПАО ""СИБУР Холдинг""",https://www.sibur.ru,Производство,Москва,Козлов Дмитрий (Генеральный директор),info@sibur.ru,+7 (495) 777-55-00,20000+,Крупнейший нефтехимический холдинг для промышленных предприятий,https://www.sibur.ru
"ПАО ""НЛМК""",https://nlmk.com,Производство,Липецк,Королёв Денис (Генеральный директор),info@nlmk.com,+7 (4742) 44-20-00,50000+,Ведущий производитель стальной продукции для промышленности,https://nlmk.com
"АО ""ТМК""",https://www.tmk-group.ru,Производство,Екатеринбург,Клоберданц Герман (Генеральный директор),info@tmk-group.ru,+7 (495) 775-76-00,20000+,Производитель труб для нефтегазовой промышленности,https://www.tmk-group.ru
"ПАО ""ФосАгро""",https://www.phosagro.ru,Производство,Москва,Рыбников Михаил (Генеральный директор),info@phosagro.ru,+7 (495) 956-15-33,20000+,Производитель минеральных удобрений для агропромышленности,https://www.phosagro.ru
"ПАО ""КамАЗ""",https://kamaz.ru,Производство,Набережные Челны,Гоголев Сергей (Генеральный директор),info@kamaz.ru,+7 (8552) 63-33-33,30000+,Крупнейший производитель грузовых автомобилей для B2B,https://kamaz.ru
"ООО ""Уральские локомотивы""",https://ulkm.ru,Производство,Екатеринбург,Кирьянов Александр (Генеральный директор),info@ulkm.ru,+7 (343) 372-77-77,5000+,Производство железнодорожной техники для РЖД и промышленности,https://ulkm.ru
"ООО ""Кей-Пи-Эм-Джи"" (KPMG Россия)",https://kpmg.ru,Консалтинг,Москва,Гершун Андрей (Генеральный директор),info@kpmg.ru,+7 (495) 937-44-77,3000+,Аудит и консалтинг для крупного бизнеса и госсектора,https://kpmg.ru
"ООО ""Эрнст энд Янг"" (EY Россия)",https://www.ey.com/ru,Консалтинг,Москва,Скворцов Иван (Генеральный директор),info@ey.ru,+7 (495) 755-97-00,3000+,Консалтинг и аудит для B2B-компаний и корпоративных клиентов,https://www.ey.com/ru
"ООО ""Финансовые и Бухгалтерские Консультанты"" (ФБК)",https://www.fbk.ru,Консалтинг,Москва,Шапиро Вадим (Генеральный директор),info@fbk.ru,+7 (495) 737-83-50,500+,Аудиторско-консалтинговая группа для бизнеса,https://www.fbk.ru
"АО ""БКС Мир Инвестиций""",https://bcs.ru,Финансы,Москва,Баранов Денис (Генеральный директор),info@bcs.ru,+7 (495) 777-77-77,2000+,Инвестиционный банк и брокерское обслуживание для корпоративных клиентов,https://bcs.ru
"АО ""Сбербанк"" (Корпоративный блок)",https://www.sberbank.ru/business,Финансы,Москва,Греф Герман Оскарович (Президент),corporate@sberbank.ru,+7 (495) 500-55-50,200000+,Крупнейший банк с корпоративным блоком для бизнеса всех размеров,https://www.sberbank.ru/business
"АО ""Альфа-Банк"" (Альфа-Бизнес)",https://alfabank.ru/business,Финансы,Москва,Печатников Владимир (Генеральный директор),corporate@alfabank.ru,+7 (495) 788-88-88,10000+,Банковское обслуживание для среднего и крупного бизнеса,https://alfabank.ru/business
"АО ""Т-Банк"" (Т-Бизнес)",https://www.tbank.ru/business,Финансы,Москва,Хубутия Сергей (Генеральный директор),business@tbank.ru,+7 (495) 647-13-58,10000+,Цифровой банк для малого и среднего бизнеса,https://www.tbank.ru/business
Банк ВТБ (ПАО),https://www.vtb.ru/business,Финансы,Москва,Костин Андрей Леонидович (Президент),corporate@vtb.ru,+7 (495) 739-77-99,50000+,Банковские продукты для корпоративных клиентов и госсектора,https://www.vtb.ru/business
"АО ""Райффайзенбанк""",https://www.raiffeisen.ru/business,Финансы,Москва,Панова София (Генеральный директор),corp@raiffeisen.ru,+7 (495) 721-99-00,5000+,Корпоративный банк для среднего бизнеса,https://www.raiffeisen.ru/business
"ПАО ""Промсвязьбанк""",https://www.psbank.ru/msb,Финансы,Москва,Луговой Андрей (Генеральный директор),info@psbank.ru,+7 (495) 777-10-20,10000+,Корпоративный банк для госсектора и оборонных предприятий,https://www.psbank.ru/msb
"ООО ""Новые технологии"" (DCMG)",https://dcmg.ru,Маркетинг/Реклама,Москва,Скворцов Сергей (Генеральный директор),info@dcmg.ru,+7 (495) 665-77-77,200+,Рекламное агентство полного цикла для B2B-компаний,https://dcmg.ru
"ООО ""Перформикс"" (Performics Russia)",https://www.performics.ru,Маркетинг/Реклама,Москва,Рутберг Роман (Генеральный директор),info@performics.ru,+7 (495) 755-56-56,100+,Перформанс-маркетинг для B2B и Retail-клиентов,https://www.performics.ru
"ООО ""Одода""",https://ododa.ru,Маркетинг/Реклама,Москва,Кузин Михаил (Генеральный директор),info@ododa.ru,+7 (495) 258-22-22,100+,Digital-агентство для B2B и технологических компаний,https://ododa.ru
"ООО ""Мобио"" (Mobio)",https://mobio.ru,Маркетинг/Реклама,Москва,Назаров Илья (Генеральный директор),info@mobio.ru,+7 (495) 111-00-44,100+,Performance-маркетинг и аналитика для B2B-бизнеса,https://mobio.ru
"ООО ""Тексель"" (Texel)",https://texel.ru,Маркетинг/Реклама,Москва,Фёдоров Андрей (Генеральный директор),info@texel.ru,+7 (495) 644-03-03,50+,Programmatic-платформа для рекламных кампаний B2B,https://texel.ru
"ПАО ""Группа ПИК""",https://www.pik.ru,Строительство,Москва,Эдельман Иван (Генеральный директор),info@pik.ru,+7 (495) 748-55-55,10000+,Крупнейший девелопер жилья с B2B-направлением подрядных работ,https://www.pik.ru
"ПАО ""Самолёт""",https://www.samolet.ru,Строительство,Москва,Голоулин Андрей (Генеральный директор),info@samolet.ru,+7 (495) 222-00-22,5000+,Девелопер коммерческой недвижимости и госзаказов,https://www.samolet.ru
Группа ЛСР (ПАО),https://www.lsr.ru,Строительство,Санкт-Петербург,Молчанов Андрей (Президент),info@lsr.ru,+7 (812) 314-67-67,10000+,Строительная группа с производством стройматериалов для B2B,https://www.lsr.ru
"АО ""Стройтрансгаз""",https://www.stroytransgaz.ru,Строительство,Москва,Рыбакин Павел (Генеральный директор),info@stroytransgaz.ru,+7 (495) 725-55-00,10000+,Строительство инфраструктуры для нефтегазового сектора,https://www.stroytransgaz.ru
"АО ""Московская Медицинская Палата"" (МЕДСИ)",https://medsi.ru,Медицина,Москва,Кузнецов Евгений (Генеральный директор),info@medsi.ru,+7 (495) 152-56-56,3000+,Сеть клиник с корпоративным медицинским обслуживанием для бизнеса,https://medsi.ru
"ООО ""СберЗдоровье""",https://sberhealth.ru,Медицина,Москва,Мельников Дмитрий (Генеральный директор),corp@sberhealth.ru,+7 (495) 785-15-15,1000+,Цифровая платформа для корпоративного здоровья и ДМС,https://sberhealth.ru
"ООО ""Нетология""",https://netology.ru,Образование,Москва,Прудникова Мария (Генеральный директор),partner@netology.ru,+7 (495) 946-26-72,500+,Корпоративное обучение и повышение квалификации для компаний,https://netology.ru
"ООО ""Скиллбокс"" (Skillbox)",https://skillbox.ru,Образование,Москва,Еремеев Константин (Генеральный директор),corp@skillbox.ru,+7 (495) 106-00-90,500+,Корпоративные программы обучения для бизнеса,https://skillbox.ru/corporate
"АО ""ГикБрейнс"" (GeekBrains)",https://geekbrains.ru,Образование,Москва,Прутков Андрей (Генеральный директор),business@geekbrains.ru,+7 (495) 118-33-87,500+,Обучение IT-специалистов для корпоративных клиентов,https://geekbrains.ru/corporate
"ПАО ""Группа компаний Детский Мир"" (B2B)",https://www.detmir.ru/b2b,Ритейл,Москва,Соин Александр (Генеральный директор),b2b@detmir.ru,+7 (495) 737-60-07,10000+,Оптовые продажи детских товаров корпоративным клиентам,https://www.detmir.ru/b2b
"ООО ""Юлмарт""",https://ulmart.ru,Ритейл,Москва,Соколов Юрий (Генеральный директор),b2b@ulmart.ru,+7 (495) 221-55-55,1000+,Оптовые поставки электроники и товаров для корпоративных клиентов,https://ulmart.ru
"АО ""Самокат"" (B2B)",https://samokat.ru/business,Ритейл,Москва,Маркевич Никита (Генеральный директор),b2b@samokat.ru,+7 (495) 374-55-55,5000+,Корпоративное питание и доставка для офисов,https://samokat.ru/business
